zipcode,population,county,state,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,devices,mlabtests,mlab_d_mbps,mlabfastestavgmbps,comb_d_mbps,lowestpricedplan,partition_0,SCS,PriceSCS
11418,36256.0,Queens,New York,184.46969696969697,70.43939393939394,10.946969696969697,21532,5313,245844.0,95.44,110.03,102.60963166159833,39.99,2020-fixed,10,3.999
60124,18935.0,Kane,Illinois,148.6199342825849,39.82584884994524,16.602409638554217,19277,4485,9991.0,201.74,529.07,166.75313698118728,35.0,2020-fixed,10,3.5
76689,3996.0,Bosque,Texas,18.41042345276873,6.872964169381108,80.10097719869707,2039,427,1236.0,15.84,32.04,17.440333868761964,119.95,2020-fixed,10,11.995000000000001
38069,2376.0,Haywood,Tennessee,102.925,62.125,54.2,109,50,14.0,8.81,22.06,92.21272357723576,65.0,2020-fixed,10,6.5
92865,19704.0,Orange,California,135.9492385786802,21.081218274111674,24.588832487309645,11476,3569,16311.0,81.13,224.31,103.77028437502909,35.0,2020-fixed,10,3.5
42501,17592.0,Pulaski,Kentucky,81.24805194805195,14.2012987012987,42.37792207792208,5474,1941,5191.0,28.5,75.95,55.57387120146614,69.99,2020-fixed,10,6.999
26651,9650.0,Nicholas,West Virginia,38.1651376146789,6.791284403669724,56.90137614678899,2410,841,4895.0,36.8,89.98,37.250373942693514,40.0,2020-fixed,10,4.0
92585,17797.0,Riverside,California,139.5,60.02212389380531,22.396017699115045,11953,3139,2461.0,57.37,169.58,125.47738795615375,29.99,2020-fixed,10,2.9989999999999997
21771,29563.0,Frederick,Maryland,162.92191659272405,20.635314995563444,43.48092280390417,11488,2553,24592.0,131.48,291.12,141.49121778872544,39.99,2020-fixed,10,3.999
46368,38691.0,Porter,Indiana,152.3780964797914,19.095176010430247,17.046936114732723,10527,2888,13905.0,149.1,322.36,150.51243130495925,55.0,2020-fixed,10,5.5
44882,2909.0,Wyandot,Ohio,78.0909090909091,10.333333333333334,93.45454545454545,166,55,1607.0,15.16,43.71,21.052008408962724,69.99,2020-fixed,10,6.999
32822,53029.0,Orange,Florida,147.6286231884058,48.97282608695652,17.327898550724637,26126,8253,41789.0,82.88,211.78,107.78793682426989,35.0,2020-fixed,10,3.5
33460,30790.0,Palm Beach,Florida,125.14516129032258,26.322580645161292,18.20967741935484,9469,2871,12502.0,123.41,302.76,124.15781494961836,35.0,2020-fixed,10,3.5
63077,11798.0,Franklin,Missouri,96.55521472392638,7.435582822085889,155.85582822085888,2017,709,1358.0,61.03,166.85,82.2609209179732,69.99,2020-fixed,10,6.999
43004,22727.0,Franklin,Ohio,121.73905723905725,24.223905723905723,21.079124579124578,17233,4702,21405.0,72.24,155.8,94.31715858483031,35.0,2020-fixed,10,3.5
77975,1860.0,Lavaca,Texas,12.653846153846153,1.75,234.44230769230768,182,77,52.0,10.65,16.35,12.20854700854701,55.0,2020-fixed,8,6.875
71845,2387.0,Lafayette,Arkansas,13.766129032258064,3.1370967741935485,60.78225806451613,831,164,1442.0,41.87,100.37,31.595333579325317,79.95,2020-fixed,9,8.883333333333333
67876,1156.0,Ford,Kansas,22.0,17.0,23.75,146,61,169.0,18.39,37.0,20.06320634920635,95.0,2020-fixed,10,9.5
49657,3683.0,Missaukee,Michigan,16.816901408450704,10.32394366197183,70.41549295774648,521,171,502.0,16.14,47.45,16.48473668993433,69.99,2020-fixed,10,6.999
27040,10893.0,Forsyth,North Carolina,109.7560553633218,19.048442906574394,22.994809688581316,6266,1613,9332.0,50.23,92.01,74.14269796810966,69.99,2020-fixed,10,6.999
32953,22754.0,Brevard,Florida,123.41624365482234,23.446700507614214,20.56175972927242,8806,2945,7818.0,59.11,142.71,93.17405086768319,35.0,2020-fixed,10,3.5
